GISJOIN,YEAR,STATE,STATEA,COUNTY,COUNTYA,AREANAME,STATEICP,COUNTYICP,AB4001,AB4002,AB4003,AB4004,AB4005,AB4006,AB4007,AB4008,AB4009,AB4010,AB4011,AB4012,AB4013,AB4014,AB4015,AB4016,AB4017,AB4018,AB4019,AB4020,AB4021,AB4022
"G0900070","1840","Connecticut","090","Middlesex","0070","Middlesex","1","70",5463,941,40028,54224,9169,103920,24629,175,35,181673,0,29696,0,0,0,0,0,20,0,0,10552,0
"G0900090","1840","Connecticut","090","New Haven","0090","New Haven","1","90",7032,2731,167640,129391,30031,234548,96118,952,1050,481941,0,58735,0,14172,0,0,0,353,1261,0,25498,682
"G0900110","1840","Connecticut","090","New London","0110","New London","1","110",10138,21875,122355,37633,16966,186587,139398,0,25,394260,41,45845,0,619,0,0,0,12,0,0,21988,130
"G0900130","1840","Connecticut","090","Tolland","0130","Tolland","1","130",7552,253,88660,50709,20105,87348,78041,397,263,281090,0,33726,0,0,0,0,0,10508,0,0,17882,28
"G0900150","1840","Connecticut","090","Windham","0150","Windham","1","150",8999,5904,179027,48278,30653,173003,90440,16,43,497963,28,45134,0,0,277,0,0,3001,2549,0,15706,88
"G1000010","1840","Delaware","100","Kent","0010","Kent","11","10",85342,0,294231,21745,3680,626835,22885,249,290,66128,2229,4795,0,0,0,0,0,343,0,0,20236,5
"G1000030","1840","Delaware","100","New Castle","0030","New Castle","11","30",191724,5260,564015,3157,7528,599707,17073,356,284,64050,20116,16114,0,500,0,0,0,894,0,0,28833,0
"G1000050","1840","Delaware","100","Sussex","0050","Sussex","11","50",38099,0,69159,8644,91,872817,24446,141,514,26956,21233,1574,50,5000,272,0,334,222,0,0,18795,317
"G1100005","1840","District Of Columbia","110","Alexandria","0005","Alexandria","98","130",4334,274,9091,2798,192,18800,603,28,44,5592,691,803,0,0,0,0,0,0,0,0,1037,25
"G1100017","1840","District Of Columbia","110","Georgetown","0017","Georgetown","98","5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"G1100075","1840","District Of Columbia","110","Rural Washington county","0075","Rural Washington county","98","7",7005,20,3975,2183,40,14705,104,0,0,3471,429,291,0,0,55550,0,0,195,0,0,200,0
"G1100115","1840","District Of Columbia","110","Washington City","0115","Washington City","98","3",808,0,2685,100,40,5980,0,0,0,1648,204,238,0,0,0,0,0,456,0,0,50,0
"G1250015","1840","Florida Territory","125","Alachua","0015","Alachua","43","10",0,0,100,0,0,27365,0,0,0,18,9634,155,0,0,0,0,0,0,0,2000,0,0
"G1250035","1840","Florida Territory","125","Columbia","0035","Columbia","43","230",0,0,0,0,0,35975,0,0,0,128,9752,42,0,0,0,0,26692,0,0,15397,0,0
"G1250055","1840","Florida Territory","125","Dade","0055","Dade","43","250",0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,25,0,0,150,0
"G1250075","1840","Florida Territory","125","Duval","0075","Duval","43","310",0,0,0,10,0,20085,0,0,0,515,17176,0,0,4000,0,9010,140658,0,0,21600,946,0
"G1250095","1840","Florida Territory","125","Escambia","0095","Escambia","43","330",0,0,0,0,0,7657,837,0,40,451,6100,0,0,0,0,0,50,5,0,0,4895,0
"G1250115","1840","Florida Territory","125","Franklin","0115","Franklin","43","370",0,0,0,0,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1022,0
"G1250125","1840","Florida Territory","125","Calhoun","0125","Calhoun","43","130",50,0,30,0,0,4550,0,0,0,95,4400,3,0,0,0,5000,0,29,0,0,900,0
"G1250135","1840","Florida Territory","125","Gadsden","0135","Gadsden","43","390",35,0,3314,0,0,183400,512,0,0,0,57368,0,0,0,66324,113900,1833549,0,0,114100,0,0
"G1250155","1840","Florida Territory","125","Hamilton","0155","Hamilton","43","470",36,0,95,12,0,20798,20,0,20,144,14111,76,0,0,0,8560,54000,10,0,14950,0,0
"G1250175","1840","Florida Territory","125","Hillsborough","0175","Hillsborough","43","570",,,,,,,,,,,,,,,,,,,,,,
"G1250195","1840","Florida Territory","125","Jackson","0195","Jackson","43","630",264,0,530,242,0,127915,376,0,0,0,32105,0,0,0,0,0,1672158,0,0,900,0,0
