RDD ANALYSIS RESULTS
Year: 1890
Analysis Date: 2025-06-10
Includes both linear (p1) and quadratic (p2) polynomial results
Clustered results use clustering by nearest border point
====================================================================================================

====================================================================================================
RDD Results: Basic Model (Year: 1890)
Includes both linear (p1) and quadratic (p2) polynomial results
Clustered results use clustering by nearest border point
====================================================================================================

Segment                                                 Coeff    Std Err    P-value     Obs Free    Obs Slave      BW Free     BW Slave
Robust Clustered: mserd epanechnikov p2                0.0769     0.1776     0.6652          518          572       200.39       200.39
Robust Clustered: msetwo epanechnikov p2               0.0698     0.1762     0.6918          548          588       215.74       207.94
Robust Clustered: msesum epanechnikov p2               0.0270     0.1714     0.8748          611          681       248.09       248.09
Robust Clustered: cerrd epanechnikov p2                0.0736     0.1782     0.6796          436          472       162.30       162.30
Robust Clustered: certwo epanechnikov p2               0.0786     0.1773     0.6575          462          491       174.74       168.42
Robust Clustered: cersum epanechnikov p2               0.0643     0.1775     0.7173          520          575       200.94       200.94
========================================================================================================================

====================================================================================================
RDD Results: With Geography Controls (No Border Counties) (Year: 1890)
Includes both linear (p1) and quadratic (p2) polynomial results
Clustered results use clustering by nearest border point
====================================================================================================

Segment                                                 Coeff    Std Err    P-value     Obs Free    Obs Slave      BW Free     BW Slave
------------------------------------------------------------------------------------------------------------------------
Border Point 1                                        -0.6952     0.3144     0.0270           62           36       113.39       113.39
Border Point 2                                        -0.6060     0.1268     0.0000           55           25       102.15       102.15
Border Point 3                                       -17.7323     4.4814     0.0001            3            2        28.75        28.75
Border Point 4                                        -0.2668     0.2380     0.2623           25           15        71.20        71.20
Border Point 5                                        -2.4704     0.9613     0.0102            6            6        37.58        37.58
Border Point 6                                        -1.8724     0.9604     0.0512            2            8        29.66        29.66
Border Point 7                                        -0.7556     0.3366     0.0248           10           17        47.36        47.36
Border Point 8                                        -0.5524     1.1113     0.6191            4           10        30.35        30.35
Border Point 9                                        -0.4700     0.4117     0.2537           14           14        50.66        50.66
Border Point 10                                        0.7844     0.4125     0.0572           21           27        66.03        66.03
Border Point 11                                        0.9150     0.2388     0.0001           37           32        75.31        75.31
Border Point 12                                        0.8118     0.2223     0.0003           32           39        74.28        74.28
Border Point 13                                        0.2067     0.1951     0.2893           24           35        77.57        77.57
Border Point 14                                        0.6780     0.9093     0.4559            6           15        38.08        38.08
Border Point 15                                       -0.1154     0.2981     0.6986           35           20        84.22        84.22
