GISJOIN,YEAR,STATE,STATEA,COUNTY,COUNTYA,AREANAME,STATEICP,COUNTYICP,AJR001,AJU001,AJU002,AJU003,AJV001,AJV002,AJ1001,AJ1002,AJ1003,AJ1004,AJ1005,AJ1006,AJ1007,AJ1008,AJ1009,AJ1010,AJ1011,AJ1012,AJ1013,AJ1014,AJ1015,AJ1016,AJ1017,AJ1018,AJ1019,AJ1020,AJ1021,AJ1022,AJ1023,AJ1024,AJ1025,AJ1026,AJ1027,AJ1028,AJ1029,AJ1030,AJ1031,AJ1032,AJ1033,AJ1034
"G0500150","1870","Arkansas","050","Carroll","0150","Carroll","42","150",5780,19942,1408,31355,224617,29921,0,20438,2936,172696,10483,40,0,0,15545,17,3825,351,5041,2797,6,45447,70,45,32,0,0,0,0,0,0,0,0,0,400,6226,0,0,261,1494
"G0500170","1870","Arkansas","050","Chicot","0170","Chicot","42","170",7214,34181,83882,15715,1484065,120083,0,0,0,85462,130,0,0,0,0,10187,20,11,56,5092,0,100,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,210
"G0500190","1870","Arkansas","050","Clark","0190","Clark","42","190",11953,39257,110755,23311,620390,68364,4083,749,139,356428,1025,25,0,0,200,6531,6422,2736,6009,30907,0,94843,0,0,5,0,0,0,0,0,0,0,0,0,0,0,277,0,573,8083
"G0500270","1870","Arkansas","050","Columbia","0270","Columbia","42","270",11397,61114,429,188778,624595,27114,0,3149,98,245388,5203,3,0,0,100,5565,7306,3652,5300,48024,51,665,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,632,14018
"G0500290","1870","Arkansas","050","Conway","0290","Conway","42","290",8112,28984,136291,35555,1055071,56687,119,9320,71,269945,11601,0,0,0,7127,3954,5970,379,9644,13633,0,55686,0,0,0,0,0,0,0,0,0,0,0,0,0,800,2364,0,6,11537
"G0500310","1870","Arkansas","050","Craighead","0310","Craighead","42","310",4577,18432,43097,15595,346086,28738,0,7619,14,122395,7960,0,0,0,13238,1298,3587,0,6464,12498,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,919,0,0,0
"G0500330","1870","Arkansas","050","Crawford","0330","Crawford","42","330",8957,24026,51602,310,748524,23619,0,9746,345,237702,16090,0,0,0,3302,2366,2877,758,13448,12634,0,61863,132,0,3,0,0,0,0,0,0,0,0,0,0,6241,0,0,117,4226
"G0500350","1870","Arkansas","050","Crittenden","0350","Crittenden","42","350",3831,18242,2180,81574,443335,22238,0,0,0,76340,0,0,0,0,200,6841,0,2,3052,3012,50,350,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0
"G0500370","1870","Arkansas","050","Cross","0370","Cross","42","370",3915,15458,55210,187,306067,17620,0,513,136,77408,3971,215,0,0,215,1719,757,7,2235,6461,6,19782,0,0,18,0,0,0,0,0,0,0,0,0,0,413,0,0,28,1715
"G0500390","1870","Arkansas","050","Dallas","0390","Dallas","42","390",5707,30911,131392,0,358559,10533,185,435,50,124449,355,0,0,0,290,2555,618,70,560,14575,0,30188,0,0,0,0,0,0,0,0,0,0,34,0,0,0,155,0,145,8126
