year,state,slavery_legal,GISJOIN,farmv,border_county
1850,Michigan,0,G2600250,11.721398612211763,0
1850,Indiana,0,G1800410,23.18388795586324,0
1850,Tennessee,1,G4700610,1.218613173751321,0
1850,Virginia,1,G5100770,3.1999316530439605,0
1850,Texas,1,G4804670,1.431302737188722,0
1850,North Carolina,1,G3700810,3.8463582218940138,0
1850,Texas,1,G4804230,2.8663638353765326,0
1850,Virginia,1,G5100630,4.487586506532601,0
1850,Iowa,0,G1901050,6.092700119171378,0
1850,Alabama,1,G0100250,3.2004283284293518,0
1850,Mississippi,1,G2800630,7.390021115876091,0
1850,Florida,1,G1200830,6.233391466944749,0
1850,Ohio,0,G3901090,25.339000809639472,0
1850,Indiana,0,G1801190,7.264821864221418,0
1850,Alabama,1,G0100730,4.228394207878624,0
1850,Louisiana,1,G2200990,7.685243699285292,0
1850,North Carolina,1,G3701570,3.826679781437694,0
1850,Virginia,1,G5100775,6.749704488334462,0
1850,Ohio,0,G3900410,15.88411102463393,0
1850,Pennsylvania,0,G4200510,22.227408457501358,1
1850,Tennessee,1,G4700290,4.246271902387293,0
1850,Illinois,0,G1700510,4.611995359795946,0
1850,Indiana,0,G1800430,16.498031632018787,1
1850,Arkansas,1,G0500430,3.751319335279587,0
1850,North Carolina,1,G3701110,3.7344885560609002,0
1850,Indiana,0,G1801010,5.01113307814187,0
1850,Connecticut,0,G0900150,22.823455748419587,0
1850,Indiana,0,G1800010,8.317484037494905,0
1850,Missouri,1,G2900550,4.184592935796378,0
1850,Virginia,1,G5100730,12.249321971338244,0
1850,Tennessee,1,G4701450,4.174084514058692,0
1850,Tennessee,1,G4701830,3.175651982482762,0
1850,Georgia,1,G1301690,5.230417160891743,0
1850,Florida,1,G1200950,11.890606420927467,0
1850,Pennsylvania,0,G4200990,15.341601120867841,0
1850,Texas,1,G4800970,0.14849384811200678,0
1850,Texas,1,G4801470,1.8861421104675802,0
1850,Indiana,0,G1800110,9.014406996120023,0
1850,Georgia,1,G1301790,2.270368713842628,0
1850,Missouri,1,G2901510,4.518829191364403,0
1850,New Jersey,0,G3400130,69.64192474789749,0
1850,Kentucky,1,G2100450,3.5954889355720177,0
1850,Florida,1,G1201290,4.816216216216216,0
1850,Ohio,0,G3901270,17.464614119259767,0
1850,Kentucky,1,G2101230,4.712085395582478,0
1850,Tennessee,1,G4701750,0.7927341975294689,0
1850,New York,0,G3600930,36.09934707221891,0
1850,Missouri,1,G2902230,4.414865053004236,0
1850,Georgia,1,G1301150,8.435135702784066,0
1850,Michigan,0,G2601490,10.851418388026577,0
1850,Tennessee,1,G4701650,9.99341643258427,0
1850,Missouri,1,G2901810,7.222172149616944,0
1850,Ohio,0,G3901710,10.20173571698827,0
1850,North Carolina,1,G3701190,4.321010368869555,0
1850,Tennessee,1,G4701210,0.6656329211702304,0
1850,Ohio,0,G3900190,16.778377176858825,0
1850,New York,0,G3600450,23.376086131774798,0
1850,Virginia,1,G5101970,7.061288456623216,0
1850,Kentucky,1,G2101770,2.8303214596003476,0
1850,Missouri,1,G2900130,3.59534317769345,0
1850,Missouri,1,G2900850,3.636464802383602,0
1850,Virginia,1,G5100810,2.6024896159824684,0
1850,South Carolina,1,G4500070,5.204729363271505,0
1850,Kentucky,1,G2101890,1.4884501177797684,0
1850,Ohio,0,G3901610,7.725215732380931,0
1850,Illinois,0,G1700250,5.005584281282316,0
1850,New York,0,G3600210,43.62261611073873,0
1850,New Jersey,0,G3400030,57.37353763519977,0
1850,Michigan,0,G2600150,7.130239788842661,0
1850,Michigan,0,G2601530,NA,0
1850,Iowa,0,G1901530,5.243774694477626,0
1850,Illinois,0,G1700190,7.814965705739776,0
1850,Kentucky,1,G2101730,13.532377319606265,0
1850,Pennsylvania,0,G4200910,72.06391396688521,0
1850,Tennessee,1,G4701330,2.1598938431643604,0
1850,North Carolina,1,G3700210,2.174109660646244,0
1850,Michigan,0,G2600810,9.4655513997926235,0
1850,Indiana,0,G1801290,8.39081477534517,1
1850,Maryland,1,G2400250,19.92837411678268,1
1850,Alabama,1,G0101210,5.747139219865257,0
1850,Florida,1,G1200065,5.795942283747162,0
1850,Virginia,1,G5101215,4.65502589158941,0
1850,Georgia,1,G1301050,4.988214800729955,0
