GISJOIN,YEAR,STATE,STATEA,COUNTY,COUNTYA,AREANAME,STATEICP,COUNTYICP,AJR001,AJU001,AJU002,AJU003,AJV001,AJV002
"G0850115","1870","Colorado Territory","085","Costilla","0115","Costilla","62","230",1779,5583,0,16022,90819,13747
"G0850135","1870","Colorado Territory","085","Douglas","0135","Douglas","62","350",1388,7899,1067,6412,137780,20007
"G0850155","1870","Colorado Territory","085","El Paso","0155","El Paso","62","410",987,4457,545,10497,147380,11135
"G0850175","1870","Colorado Territory","085","Fremont","0175","Fremont","62","430",1064,2632,193,4925,79050,6215
"G0850195","1870","Colorado Territory","085","Gilpin","0195","Gilpin","62","470",5490,1194,1350,2016,99200,3805
"G0850215","1870","Colorado Territory","085","Greenwood","0215","Greenwood","62","495",510,0,0,0,0,0
"G0850235","1870","Colorado Territory","085","Huerfano","0235","Huerfano","62","550",2250,2693,0,6943,197385,4783
"G0850255","1870","Colorado Territory","085","Jefferson","0255","Jefferson","62","590",2390,7166,290,15476,342675,27680
"G0850275","1870","Colorado Territory","085","Lake","0275","Lake","62","650",522,978,695,3292,19375,5250
"G0850295","1870","Colorado Territory","085","Larimer","0295","Larimer","62","690",838,5135,0,14049,226970,17475
"G0850315","1870","Colorado Territory","085","Las Animas","0315","Las Animas","62","710",4276,1130,0,2993,24662,3040
"G0850335","1870","Colorado Territory","085","Park","0335","Park","62","930",447,623,1455,1312,16740,3147
"G0850355","1870","Colorado Territory","085","Pueblo","0355","Pueblo","62","1010",2265,17087,5588,40853,531140,39450
"G0850375","1870","Colorado Territory","085","Saguache","0375","Saguache","62","1090",304,1996,0,7194,49620,10710
"G0850395","1870","Colorado Territory","085","Summit","0395","Summit","62","1170",258,0,0,0,0,0
"G0850415","1870","Colorado Territory","085","Weld","0415","Weld","62","1230",1636,9715,0,13696,278580,20085
"G0900010","1870","Connecticut","090","Fairfield","0010","Fairfield","1","10",95276,199762,50574,24292,25038720,382866
"G0900030","1870","Connecticut","090","Hartford","0030","Hartford","1","30",109007,278436,88525,5044,28289158,730565
"G0900050","1870","Connecticut","090","Litchfield","0050","Litchfield","1","50",48727,342308,101656,8519,19344296,591403
"G0900070","1870","Connecticut","090","Middlesex","0070","Middlesex","1","70",36099,82016,53454,27010,6932828,221651
"G0900090","1870","Connecticut","090","New Haven","0090","New Haven","1","90",121257,192563,64975,23921,17256348,428179
"G0900110","1870","Connecticut","090","New London","0110","New London","1","110",66570,227162,86584,19413,12878346,352273
